Reported Date,Total Energy Supplied,Location Coordinates
"July 18, 2019",16,"20.5937, 78.9629"
"July 18, 2019",1,"20.5937, 78.9629"
"July 18, 2019",1,"20.5937, 78.9629"
"July 18, 2019",1,"20.5937, 78.9629"
"July 17, 2019",1,"20.5937, 78.9629"
"July 17, 2019",1,"20.5937, 78.9629"
"July 16, 2019",1,"20.5937, 78.9629"
"July 16, 2019",2,"20.5937, 78.9629"
"July 16, 2019",1,"20.5937, 78.9629"
"July 15, 2019",1,"20.5937, 78.9629"
"July 15, 2019",1,"20.5937, 78.9629"
"July 15, 2019",1,"20.5937, 78.9629"
"July 14, 2019",1,"20.5937, 78.9629"
"July 14, 2019",1,"20.5937, 78.9629"
"July 13, 2019",1,"20.5937, 78.9629"
"July 12, 2019",1,"20.5937, 78.9629"
"July 12, 2019",1,"20.5937, 78.9629"
"July 12, 2019",1,"20.5937, 78.9629"
"July 11, 2019",1,"20.5937, 78.9629"
"July 11, 2019",1,"20.5937, 78.9629"
"July 09, 2019",1,"20.5937, 78.9629"
"July 08, 2019",1,"20.5937, 78.9629"
"July 08, 2019",8,"20.5937, 78.9629"
"July 08, 2019",1,"20.5937, 78.9629"
"July 07, 2019",1,"20.5937, 78.9629"
"July 07, 2019",1,"20.5937, 78.9629"
"July 06, 2019",1,"20.5937, 78.9629"
"July 06, 2019",1,"20.5937, 78.9629"
"July 06, 2019",1,"20.5937, 78.9629"
"July 06, 2019",1,"20.5937, 78.9629"
"July 06, 2019",1,"20.5937, 78.9629"
"July 05, 2019",1,"20.5937, 78.9629"
"July 05, 2019",1,"20.5937, 78.9629"
"July 04, 2019",1,"20.5937, 78.9629"
"July 04, 2019",1,"20.5937, 78.9629"
"July 03, 2019",83,"20.5937, 78.9629"
"July 03, 2019",1,"20.5937, 78.9629"
"July 03, 2019",1,"20.5937, 78.9629"
"July 03, 2019",1,"20.5937, 78.9629"
"July 02, 2019",1,"20.5937, 78.9629"
"July 02, 2019",2,"20.5937, 78.9629"
"July 01, 2019",1,"20.5937, 78.9629"
"July 01, 2019",1,"20.5937, 78.9629"
"July 01, 2019",1,"20.5937, 78.9629"
"June 30, 2019",1,"20.5937, 78.9629"
"June 30, 2019",1,"20.5937, 78.9629"
"June 30, 2019",1,"20.5937, 78.9629"
"June 29, 2019",1,"20.5937, 78.9629"
"June 29, 2019",1,"20.5937, 78.9629"
"June 29, 2019",1,"20.5937, 78.9629"
"June 27, 2019",6,"20.5937, 78.9629"
"June 27, 2019",1,"20.5937, 78.9629"
"June 26, 2019",1,"20.5937, 78.9629"
"June 26, 2019",1,"20.5937, 78.9629"
"June 26, 2019",1,"20.5937, 78.9629"
"June 26, 2019",10,"20.5937, 78.9629"
"June 25, 2019",1,"20.5937, 78.9629"
"June 25, 2019",1,"20.5937, 78.9629"
"June 25, 2019",1,"20.5937, 78.9629"
"June 24, 2019",1,"20.5937, 78.9629"
"June 24, 2019",2,"20.5937, 78.9629"
"June 23, 2019",4,"20.5937, 78.9629"
"June 23, 2019",25,"20.5937, 78.9629"
"June 22, 2019",1,"20.5937, 78.9629"
"June 21, 2019",1,"20.5937, 78.9629"
"June 21, 2019",1,"20.5937, 78.9629"
"June 21, 2019",1,"20.5937, 78.9629"
"June 20, 2019",1,"20.5937, 78.9629"
"June 20, 2019",1,"20.5937, 78.9629"
"June 20, 2019",1,"20.5937, 78.9629"
"June 20, 2019",1,"20.5937, 78.9629"
"June 19, 2019",22,"20.5937, 78.9629"
"June 19, 2019",1,"20.5937, 78.9629"
"June 19, 2019",1,"20.5937, 78.9629"
"June 17, 2019",12,"20.5937, 78.9629"
"June 17, 2019",1,"20.5937, 78.9629"
"June 16, 2019",1,"20.5937, 78.9629"
"June 15, 2019",1,"20.5937, 78.9629"
"June 15, 2019",1,"20.5937, 78.9629"
"June 14, 2019",1,"20.5937, 78.9629"
"June 14, 2019",1,"20.5937, 78.9629"
"June 13, 2019",1,"20.5937, 78.9629"
"June 12, 2019",2,"20.5937, 78.9629"
"June 12, 2019",7,"20.5937, 78.9629"
"June 12, 2019",1,"20.5937, 78.9629"
"June 12, 2019",1,"20.5937, 78.9629"
"June 12, 2019",1,"20.5937, 78.9629"
"June 11, 2019",1,"20.5937, 78.9629"
"June 11, 2019",7,"20.5937, 78.9629"
"June 10, 2019",3,"20.5937, 78.9629"
"June 10, 2019",1,"20.5937, 78.9629"
"June 10, 2019",1,"20.5937, 78.9629"
"June 10, 2019",1,"20.5937, 78.9629"
"June 09, 2019",1,"20.5937, 78.9629"
"June 09, 2019",1,"20.5937, 78.9629"
"June 09, 2019",32,"20.5937, 78.9629"
"June 08, 2019",1,"20.5937, 78.9629"
"June 07, 2019",1,"20.5937, 78.9629"
"June 07, 2019",2,"20.5937, 78.9629"
"June 07, 2019",3,"20.5937, 78.9629"
"June 07, 2019",1,"20.5937, 78.9629"
"June 06, 2019",1,"20.5937, 78.9629"
"June 05, 2019",6,"20.5937, 78.9629"
"June 05, 2019",1,"20.5937, 78.9629"
"June 04, 2019",1,"20.5937, 78.9629"
"June 04, 2019",1,"20.5937, 78.9629"
"June 04, 2019",1,"20.5937, 78.9629"
"June 03, 2019",1,"20.5937, 78.9629"
"June 03, 2019",1,"20.5937, 78.9629"
"June 03, 2019",1,"20.5937, 78.9629"
"June 03, 2019",1,"20.5937, 78.9629"
"June 03, 2019",1,"20.5937, 78.9629"
"June 02, 2019",22,"20.5937, 78.9629"
"June 02, 2019",1,"20.5937, 78.9629"
"June 02, 2019",8,"20.5937, 78.9629"
"June 02, 2019",1,"20.5937, 78.9629"
"June 01, 2019",1,"20.5937, 78.9629"
"June 01, 2019",1,"20.5937, 78.9629"
"May 31, 2019",1,"20.5937, 78.9629"
"May 30, 2019",1,"20.5937, 78.9629"
"May 30, 2019",1,"20.5937, 78.9629"
"May 29, 2019",2,"20.5937, 78.9629"
"May 29, 2019",1,"20.5937, 78.9629"
"May 29, 2019",1,"20.5937, 78.9629"
"May 28, 2019",1,"20.5937, 78.9629"
"May 26, 2019",1,"20.5937, 78.9629"
"May 25, 2019",1,"20.5937, 78.9629"
"May 25, 2019",3,"20.5937, 78.9629"
"May 24, 2019",1,"20.5937, 78.9629"
"May 24, 2019",1,"20.5937, 78.9629"
"May 24, 2019",1,"20.5937, 78.9629"
"May 23, 2019",1,"20.5937, 78.9629"
"May 23, 2019",5,"20.5937, 78.9629"
"May 23, 2019",3,"20.5937, 78.9629"
"May 23, 2019",1,"20.5937, 78.9629"
"May 22, 2019",3,"20.5937, 78.9629"
"May 21, 2019",3,"20.5937, 78.9629"
"May 21, 2019",1,"20.5937, 78.9629"
"May 21, 2019",1,"20.5937, 78.9629"
"May 21, 2019",1,"20.5937, 78.9629"
"May 20, 2019",1,"20.5937, 78.9629"
"May 20, 2019",1,"20.5937, 78.9629"
"May 20, 2019",1,"20.5937, 78.9629"
"May 19, 2019",1,"20.5937, 78.9629"
"May 19, 2019",3,"20.5937, 78.9629"
"May 19, 2019",1,"20.5937, 78.9629"
"May 16, 2019",5,"20.5937, 78.9629"
"May 16, 2019",3,"20.5937, 78.9629"
"May 16, 2019",1,"20.5937, 78.9629"
"May 16, 2019",29,"20.5937, 78.9629"
"May 15, 2019",22,"20.5937, 78.9629"
"May 15, 2019",1,"20.5937, 78.9629"
"May 14, 2019",1,"20.5937, 78.9629"
"May 14, 2019",1,"20.5937, 78.9629"
"May 13, 2019",1,"20.5937, 78.9629"
"May 13, 2019",5,"20.5937, 78.9629"
"May 13, 2019",1,"20.5937, 78.9629"
"May 13, 2019",1,"20.5937, 78.9629"
"May 12, 2019",1,"20.5937, 78.9629"
"May 12, 2019",1,"20.5937, 78.9629"
"May 12, 2019",1,"20.5937, 78.9629"
"May 12, 2019",3,"20.5937, 78.9629"
"May 11, 2019",1,"20.5937, 78.9629"
"May 10, 2019",59,"20.5937, 78.9629"
"May 10, 2019",1,"20.5937, 78.9629"
"May 09, 2019",1,"20.5937, 78.9629"
"May 08, 2019",2,"20.5937, 78.9629"
"May 08, 2019",1,"20.5937, 78.9629"
"May 08, 2019",1,"20.5937, 78.9629"
"May 07, 2019",1,"20.5937, 78.9629"
"May 07, 2019",1,"20.5937, 78.9629"
"May 07, 2019",1,"20.5937, 78.9629"
"May 06, 2019",1,"20.5937, 78.9629"
"May 05, 2019",2,"20.5937, 78.9629"
"May 05, 2019",1,"20.5937, 78.9629"
"May 05, 2019",4,"20.5937, 78.9629"
"May 04, 2019",1,"20.5937, 78.9629"
"May 04, 2019",1,"20.5937, 78.9629"
"May 03, 2019",12,"20.5937, 78.9629"
"May 03, 2019",1,"20.5937, 78.9629"
"May 02, 2019",4,"20.5937, 78.9629"
"May 02, 2019",1,"20.5937, 78.9629"
"May 01, 2019",1,"20.5937, 78.9629"
"May 01, 2019",4,"20.5937, 78.9629"
"May 01, 2019",1,"20.5937, 78.9629"
"May 01, 2019",9,"20.5937, 78.9629"
"May 01, 2019",1,"20.5937, 78.9629"
"April 30, 2019",1,"20.5937, 78.9629"
"April 30, 2019",1,"20.5937, 78.9629"
"April 29, 2019",1,"20.5937, 78.9629"
"April 29, 2019",1,"20.5937, 78.9629"
"April 29, 2019",1,"20.5937, 78.9629"
"April 29, 2019",1,"20.5937, 78.9629"
"April 28, 2019",1,"20.5937, 78.9629"
"April 27, 2019",21,"20.5937, 78.9629"
"April 27, 2019",1,"20.5937, 78.9629"
"April 27, 2019",1,"20.5937, 78.9629"
"April 26, 2019",1,"20.5937, 78.9629"
"April 26, 2019",2,"20.5937, 78.9629"
"April 25, 2019",1,"20.5937, 78.9629"
"April 25, 2019",1,"20.5937, 78.9629"
"April 25, 2019",1,"20.5937, 78.9629"
"April 24, 2019",23,"20.5937, 78.9629"
"April 24, 2019",1,"20.5937, 78.9629"
"April 23, 2019",3,"20.5937, 78.9629"
"April 23, 2019",1,"20.5937, 78.9629"
"April 23, 2019",1,"20.5937, 78.9629"
"April 23, 2019",1,"20.5937, 78.9629"
"April 23, 2019",1,"20.5937, 78.9629"
"April 23, 2019",1,"20.5937, 78.9629"
"April 23, 2019",1,"20.5937, 78.9629"
"April 22, 2019",1,"20.5937, 78.9629"
"April 22, 2019",1,"20.5937, 78.9629"
"April 22, 2019",1,"20.5937, 78.9629"
"April 22, 2019",1,"20.5937, 78.9629"
"April 22, 2019",4,"20.5937, 78.9629"
"April 22, 2019",1,"20.5937, 78.9629"
"April 22, 2019",1,"20.5937, 78.9629"
"April 22, 2019",1,"20.5937, 78.9629"
"April 21, 2019",1,"20.5937, 78.9629"
"April 21, 2019",1,"20.5937, 78.9629"
"April 21, 2019",1,"20.5937, 78.9629"
"April 20, 2019",3,"20.5937, 78.9629"
"April 19, 2019",1,"20.5937, 78.9629"
"April 19, 2019",4,"20.5937, 78.9629"
"April 19, 2019",1,"20.5937, 78.9629"
"April 19, 2019",2,"20.5937, 78.9629"
"April 18, 2019",1,"20.5937, 78.9629"
"April 17, 2019",2,"20.5937, 78.9629"
"April 17, 2019",1,"20.5937, 78.9629"
"April 17, 2019",1,"20.5937, 78.9629"
"April 17, 2019",1,"20.5937, 78.9629"
"April 14, 2019",1,"20.5937, 78.9629"
"April 14, 2019",2,"20.5937, 78.9629"
"April 14, 2019",6,"20.5937, 78.9629"
"April 14, 2019",2,"20.5937, 78.9629"
"April 14, 2019",1,"20.5937, 78.9629"
"April 14, 2019",1,"20.5937, 78.9629"
"April 14, 2019",1,"20.5937, 78.9629"
"April 14, 2019",1,"20.5937, 78.9629"
"April 12, 2019",6,"20.5937, 78.9629"
"April 12, 2019",1,"20.5937, 78.9629"
"April 12, 2019",3,"20.5937, 78.9629"
"April 12, 2019",2,"20.5937, 78.9629"
"April 12, 2019",1,"20.5937, 78.9629"
"April 11, 2019",1,"20.5937, 78.9629"
"April 11, 2019",1,"20.5937, 78.9629"
"April 10, 2019",1,"20.5937, 78.9629"
"April 10, 2019",1,"20.5937, 78.9629"
"April 10, 2019",1,"20.5937, 78.9629"
"April 10, 2019",1,"20.5937, 78.9629"
"April 10, 2019",3,"20.5937, 78.9629"
"April 10, 2019",1,"20.5937, 78.9629"
"April 09, 2019",11,"20.5937, 78.9629"
"April 08, 2019",1,"20.5937, 78.9629"
"April 07, 2019",1,"20.5937, 78.9629"
"April 07, 2019",1,"20.5937, 78.9629"
"April 07, 2019",2,"20.5937, 78.9629"
"April 07, 2019",1,"20.5937, 78.9629"
"April 07, 2019",3,"20.5937, 78.9629"
"April 06, 2019",2,"20.5937, 78.9629"
"April 06, 2019",1,"20.5937, 78.9629"
"April 06, 2019",1,"20.5937, 78.9629"
"April 05, 2019",1,"20.5937, 78.9629"
"April 05, 2019",1,"20.5937, 78.9629"
"April 05, 2019",1,"20.5937, 78.9629"
"April 03, 2019",1,"20.5937, 78.9629"
"April 03, 2019",2,"20.5937, 78.9629"
"April 02, 2019",1,"20.5937, 78.9629"
"April 02, 2019",1,"20.5937, 78.9629"
"April 01, 2019",1,"20.5937, 78.9629"
"April 01, 2019",50,"20.5937, 78.9629"
"April 01, 2019",1,"20.5937, 78.9629"
"March 31, 2019",1,"20.5937, 78.9629"
"March 31, 2019",1,"20.5937, 78.9629"
"March 31, 2019",19,"20.5937, 78.9629"
"March 31, 2019",1,"20.5937, 78.9629"
"March 31, 2019",1,"20.5937, 78.9629"
"March 30, 2019",1,"20.5937, 78.9629"
"March 29, 2019",1,"20.5937, 78.9629"
"March 28, 2019",2,"20.5937, 78.9629"
"March 27, 2019",2,"20.5937, 78.9629"
"March 27, 2019",2,"20.5937, 78.9629"
"March 27, 2019",1,"20.5937, 78.9629"
"March 26, 2019",1,"20.5937, 78.9629"
"March 26, 2019",4,"20.5937, 78.9629"
"March 26, 2019",1,"20.5937, 78.9629"
"March 26, 2019",1,"20.5937, 78.9629"
"March 25, 2019",1,"20.5937, 78.9629"
"March 24, 2019",2,"20.5937, 78.9629"
"March 24, 2019",1,"20.5937, 78.9629"
"March 24, 2019",1,"20.5937, 78.9629"
"March 24, 2019",3,"20.5937, 78.9629"
"March 24, 2019",1,"20.5937, 78.9629"
"March 23, 2019",1,"20.5937, 78.9629"
"March 23, 2019",10,"20.5937, 78.9629"
"March 23, 2019",8,"20.5937, 78.9629"
"March 23, 2019",41,"20.5937, 78.9629"
"March 22, 2019",1,"20.5937, 78.9629"
"March 22, 2019",1,"20.5937, 78.9629"
"March 22, 2019",1,"20.5937, 78.9629"
"March 22, 2019",2,"20.5937, 78.9629"
"March 22, 2019",1,"20.5937, 78.9629"
"March 21, 2019",1,"20.5937, 78.9629"
"March 21, 2019",1,"20.5937, 78.9629"
"March 21, 2019",1,"20.5937, 78.9629"
"March 21, 2019",1,"20.5937, 78.9629"
"March 21, 2019",1,"20.5937, 78.9629"
"March 21, 2019",1,"20.5937, 78.9629"
"March 20, 2019",1,"20.5937, 78.9629"
"March 20, 2019",5,"20.5937, 78.9629"
"March 19, 2019",4,"20.5937, 78.9629"
"March 19, 2019",1,"20.5937, 78.9629"
"March 19, 2019",2,"20.5937, 78.9629"
"March 19, 2019",1,"20.5937, 78.9629"
"March 19, 2019",1,"20.5937, 78.9629"
"March 19, 2019",1,"20.5937, 78.9629"
"March 18, 2019",3,"20.5937, 78.9629"
"March 17, 2019",1,"20.5937, 78.9629"
"March 17, 2019",19,"20.5937, 78.9629"
"March 17, 2019",1,"20.5937, 78.9629"
"March 17, 2019",3,"20.5937, 78.9629"
"March 17, 2019",1,"20.5937, 78.9629"
"March 16, 2019",2,"20.5937, 78.9629"
"March 15, 2019",1,"20.5937, 78.9629"
"March 15, 2019",1,"20.5937, 78.9629"
"March 14, 2019",45,"20.5937, 78.9629"
"March 14, 2019",3,"20.5937, 78.9629"
"March 14, 2019",1,"20.5937, 78.9629"
"March 14, 2019",2,"20.5937, 78.9629"
"March 13, 2019",1,"20.5937, 78.9629"
"March 13, 2019",2,"20.5937, 78.9629"
"March 13, 2019",1,"20.5937, 78.9629"
"March 12, 2019",1,"20.5937, 78.9629"
"March 12, 2019",1,"20.5937, 78.9629"
"March 12, 2019",1,"20.5937, 78.9629"
"March 11, 2019",1,"20.5937, 78.9629"
"March 11, 2019",1,"20.5937, 78.9629"
"March 11, 2019",2,"20.5937, 78.9629"
"March 10, 2019",1,"20.5937, 78.9629"
"March 10, 2019",1,"20.5937, 78.9629"
"March 10, 2019",1,"20.5937, 78.9629"
"March 10, 2019",1,"20.5937, 78.9629"
"March 09, 2019",1,"20.5937, 78.9629"
"March 09, 2019",2,"20.5937, 78.9629"
"March 08, 2019",1,"20.5937, 78.9629"
"March 08, 2019",1,"20.5937, 78.9629"
"March 08, 2019",2,"20.5937, 78.9629"
"March 08, 2019",15,"20.5937, 78.9629"
"March 07, 2019",3,"20.5937, 78.9629"
"March 07, 2019",1,"20.5937, 78.9629"
"March 07, 2019",24,"20.5937, 78.9629"
"March 07, 2019",3,"20.5937, 78.9629"
"March 06, 2019",1,"20.5937, 78.9629"
"March 06, 2019",3,"20.5937, 78.9629"
"March 05, 2019",1,"20.5937, 78.9629"
"March 03, 2019",2,"20.5937, 78.9629"
"March 03, 2019",1,"20.5937, 78.9629"
"March 03, 2019",1,"20.5937, 78.9629"
"March 03, 2019",1,"20.5937, 78.9629"
"March 01, 2019",4,"20.5937, 78.9629"
"March 01, 2019",1,"20.5937, 78.9629"
"February 28, 2019",6,"20.5937, 78.9629"
"February 28, 2019",1,"20.5937, 78.9629"
"February 27, 2019",1,"20.5937, 78.9629"
"February 27, 2019",1,"20.5937, 78.9629"
"February 27, 2019",1,"20.5937, 78.9629"
"February 27, 2019",2,"20.5937, 78.9629"
"February 27, 2019",2,"20.5937, 78.9629"
"February 27, 2019",1,"20.5937, 78.9629"
"February 27, 2019",1,"20.5937, 78.9629"
"February 26, 2019",1,"20.5937, 78.9629"
"February 26, 2019",1,"20.5937, 78.9629"
"February 25, 2019",1,"20.5937, 78.9629"
"February 25, 2019",1,"20.5937, 78.9629"
"February 25, 2019",1,"20.5937, 78.9629"
"February 25, 2019",1,"20.5937, 78.9629"
"February 25, 2019",1,"20.5937, 78.9629"
"February 25, 2019",3,"20.5937, 78.9629"
"February 25, 2019",1,"20.5937, 78.9629"
"February 24, 2019",1,"20.5937, 78.9629"
"February 24, 2019",2,"20.5937, 78.9629"
"February 24, 2019",1,"20.5937, 78.9629"
"February 22, 2019",2,"20.5937, 78.9629"
"February 22, 2019",1,"20.5937, 78.9629"
"February 22, 2019",1,"20.5937, 78.9629"
"February 22, 2019",1,"20.5937, 78.9629"
"February 21, 2019",1,"20.5937, 78.9629"
"February 21, 2019",1,"20.5937, 78.9629"
"February 21, 2019",3,"20.5937, 78.9629"
"February 21, 2019",1,"20.5937, 78.9629"
"February 21, 2019",1,"20.5937, 78.9629"
"February 21, 2019",1,"20.5937, 78.9629"
"February 20, 2019",1,"20.5937, 78.9629"
"February 20, 2019",1,"20.5937, 78.9629"
"February 19, 2019",1,"20.5937, 78.9629"
"February 19, 2019",1,"20.5937, 78.9629"
"February 19, 2019",1,"20.5937, 78.9629"
"February 19, 2019",1,"20.5937, 78.9629"
"February 19, 2019",2,"20.5937, 78.9629"
"February 18, 2019",1,"20.5937, 78.9629"
"February 18, 2019",2,"20.5937, 78.9629"
"February 18, 2019",1,"20.5937, 78.9629"
"February 17, 2019",1,"20.5937, 78.9629"
"February 17, 2019",3,"20.5937, 78.9629"
"February 16, 2019",3,"20.5937, 78.9629"
"February 16, 2019",1,"20.5937, 78.9629"
