"Web ID","Region of Incident","Reported Date","Reported Year","Reported Month","Number Dead","Minimum Estimated Number of Missing","Total Dead and Missing","Number of Survivors","Number of Females","Number of Males","Number of Children","Cause of Death","Location Description","Information Source","Location Coordinates","Migration Route","URL","UNSD Geographical Grouping","Source Quality"
"52458","Mediterranean","September 26, 2019","2019","Sep","","7","7","3","","7","","Drowning","20 miles off the coast of Alicante, Spain","Diario Información","38.245239670844, -0.299798048828","Western Mediterranean","http://bit.ly/2m2KvMZ","Uncategorized","3"
"52456","Mediterranean","September 25, 2019","2019","Sep","1","1","2","6","","","","Drowning","22 nautical miles north of Damous, wilaya of Tipaza, Algeria","TSA Algérie, Xinhua","36.735605101366, 1.667305168400","Western Mediterranean","http://bit.ly/2mUNHtS, http://bit.ly/2lkK5kH","Uncategorized","3"
"52463","Mediterranean","September 25, 2019","2019","Sep","1","","1","","","1","","Drowning","Body washed ashore near Tripoli, Libya","UNHCR via The Libya Observer","32.910341135368, 13.241253602079","Central Mediterranean","https://twitter.com/Lyobserver/status/1176801039774887936","Uncategorized","1"
"52475","US-Mexico Border","September 25, 2019","2019","Sep","1","","1","","","1","","Unknown (skeletal remains)","Ranch located east of Falfurrias, Brooks County, Texas, USA","Brooks County Sheriff's Office via Breitbart News","27.120335346567, -98.090651851496","","http://bit.ly/31V1r7M","Northern America","1"
"52476","US-Mexico Border","September 25, 2019","2019","Sep","1","","1","","","1","","Unknown (skeletal remains)","Ranch located north of USBP checkpoint on US Highway 281 near Falfurrias, Brooks County, Texas, USA","Brooks County Sheriff's Office via Breitbart News","27.159316849220, -98.202154891570","","http://bit.ly/31V1r7M","Northern America","1"
"52455","Middle East","September 24, 2019","2019","Sep","6","","6","27","","","","Vehicle Accident","Reyhanlı-Antakya highway, near Reyhanlı, Hatay, Turkey","Hürriyet, CNN Türk","36.241342360494, 36.574383137850","","http://bit.ly/2mQY2Ht, http://bit.ly/2mlB37b","Western Asia","3"
"52474","Mediterranean","September 24, 2019","2019","Sep","","1","1","6","","1","1","Drowning","20 miles off the coast of Cartagena, Murcia, Spain - boat departed from Mostaganem, Algeria","La Verdad","37.253252681247, -0.705211109395","Western Mediterranean","http://bit.ly/2OqaE3W","Uncategorized","3"
"52454","US-Mexico Border","September 23, 2019","2019","Sep","1","","1","","","1","","Drowning","Río Bravo, near Matamoros, Tamaulipas, Mexico","El Diario de Ciudad Victoria","25.875635516654, -97.473025612357","","https://bit.ly/2nu0UKH","Uncategorized","1"
"52453","US-Mexico Border","September 22, 2019","2019","Sep","2","","2","","","2","","Hyperthermia","Near Carrizo Springs, Dimmit County, Texas, USA","Zócalo","28.482962436929, -99.919967482585","","https://bit.ly/2lVHCNN","Northern America","1"
"52450","US-Mexico Border","September 21, 2019","2019","Sep","1","","1","","","1","","Drowning","Río Bravo, near Guardados de Arriba, Miguel Alemán, Tamaulipas, Mexico","El Sol de Tampico, Hoy Tamaulipas","26.394748604205, -98.955283123743","","https://bit.ly/2m95op7, https://bit.ly/2kXNhCx","Central America","3"
"52448","Mediterranean","September 20, 2019","2019","Sep","","1","1","14","1","","1","Drowning","Off the coast of Bodrum, Muğla province, Turkey","Aegean Boat Report, Turkish Coast Guard","36.973557207271, 27.403074179688","Eastern Mediterranean","https://bit.ly/2moJgav, https://bit.ly/2kAum0u","Uncategorized","5"
"52449","US-Mexico Border","September 20, 2019","2019","Sep","1","","1","","","1","","Drowning","Río Bravo, near Ébanos Sur, Gustavo Díaz Ordaz, Tamaulipas, Mexico","Hoy Tamaulipas, El Mañana","26.244371396482, -98.557419014857","","https://bit.ly/2mna62K, https://bit.ly/2m35K0E","Central America","3"
"52452","US-Mexico Border","September 20, 2019","2019","Sep","1","","1","","","1","","Drowning","Río Bravo, near International Bridge 1, Eagle Pass, Texas, USA","La Rancherita del Aire","28.707751107681, -100.511400588450","","https://bit.ly/2nuRqPr","Northern America","1"
"52446","Europe","September 19, 2019","2019","Sep","1","","1","","","1","","Hit by train","Train tracks near Gradsko, North Macedonia","AP","41.579840271918, 21.945251077734","Western Balkans","https://bit.ly/2m9NfHN","Southern Europe","1"
"52447","Mediterranean","September 19, 2019","2019","Sep","1","","1","","","1","","Shot","Abusitta disembarkation point in Tripoli, Libya - hours after being intercepted at sea and returned to shore by the Libyan C","IOM Libya","32.909021015328, 13.220013560791","Central Mediterranean","https://bit.ly/2lX2fc5","Uncategorized","4"
"52440","Mediterranean","September 18, 2019","2019","Sep","","4","4","6","","","","Drowning","Off the coast of Djerba, Tunisia","IOM Tunisia","34.171158953801, 11.255912929033","Central Mediterranean","","Uncategorized","4"
"52445","Mediterranean","September 18, 2019","2019","Sep","9","4","13","5","","9","","Drowning","Off the coast of Cap Djinet, 20 km east of Boumerdès","El Watan, La Dépêche de Kabylie, Caminando Fronteras","36.983728473300, 3.638158139063","Western Mediterranean","http://bit.ly/2kUikyX, https://bit.ly/2l04Lhs, https://bit.ly/2kO2KFk","Uncategorized","4"
"52457","Mediterranean","September 18, 2019","2019","Sep","1","","1","1","","1","","Drowning","Off the coast of Melilla, Spain","Público, Uprising Today","35.320439624103, -2.948396982617","Western Mediterranean","http://bit.ly/2lxUnOj, http://bit.ly/2nDE7fl","Uncategorized","3"
"52435","Central America","September 17, 2019","2019","Sep","1","","1","","","1","","Sickness and lack of access to medicines","Near migrant shelter San Francisco, Tehuacán, Puebla, Mexico","Milenio, El Sol de Puebla","18.509727048315, -97.409583062974","","http://bit.ly/2m2ogGj, http://bit.ly/2lUWqMo","Central America","3"
"52436","US-Mexico Border","September 17, 2019","2019","Sep","1","","1","","","1","","Drowning","Río Bravo, near ejido Centinela, Piedras Negras, Coahuila, Mexico","Contrapunto","28.727462890595, -100.507922294930","","http://bit.ly/2kt1cAo","Central America","1"
"52437","US-Mexico Border","September 17, 2019","2019","Sep","1","","1","","","1","","Drowning","Canal next to the César Chávez Border Highway by Fonseca Drive, El Paso, El Paso County, Texas, USA","El Paso Times, La Jornada","31.753616299345, -106.417258984670","","http://bit.ly/2kSBxRB, http://bit.ly/2m0utCE","Northern America","3"
"52438","Mediterranean","September 17, 2019","2019","Sep","3","","3","8","","3","","Drowning","Five nautical miles north of Cap Falcon, Oran, Algeria","Ministry of Defence of Algeria, Association Marocaine des Droits Humains - Section Nador","36.042293320857, -0.509071856820","Western Mediterranean","http://bit.ly/2lYF554, http://bit.ly/2leSiXq","Uncategorized","5"
"52439","Mediterranean","September 17, 2019","2019","Sep","3","4","7","9","","","","Drowning","Off the coast of Sfax, Tunisia","IOM Tunisia","34.589760230843, 10.937168074215","Central Mediterranean","","Uncategorized","4"
"52441","Mediterranean","September 17, 2019","2019","Sep","1","","1","","","1","","Drowning","Body recovered on Plage Bouyafar, near Nador, Morocco (Alboran sea)","Association Marocaine des Droits Humains - Section Nador","35.247147751476, -3.164730754659","Western Mediterranean","http://bit.ly/2m4ywxN","Uncategorized","4"
"52434","US-Mexico Border","September 16, 2019","2019","Sep","1","","1","","1","","","Drowning","Río Bravo, near Donna-Río Bravo International Bridge, Tamaulipas, Mexico","El Mañana, Vox Pópuli","26.066558587779, -98.076219015077","","http://bit.ly/2mjInzX, http://bit.ly/2kHZJq5","Central America","3"
"52428","Caribbean","September 14, 2019","2019","Sep","3","","3","11","","","","Drowning","Off the coast of Playa Martinica, Aguadilla, Puerto Rico","US Border Patrol","18.513426343887, -67.150985613449","","http://bit.ly/2mivS7Y, http://bit.ly/2mjbKma, http://bit.ly/2m0vPNJ","Caribbean","5"
"52433","US-Mexico Border","September 14, 2019","2019","Sep","2","","2","","","2","","Drowning","Río Bravo, near Isla del Mudo, Piedras Negras, Coahuila, Mexico","Zócalo, SuperChannel 12","28.727691607932, -100.508059818540","","http://bit.ly/2mi3D9f, http://bit.ly/2mmU218","Central America","3"
"52444","US-Mexico Border","September 14, 2019","2019","Sep","1","","1","","","1","","Unknown (skeletal remains)","Ranch near Encino, Brooks County, Texas, USA","Brooks County Sheriff's Office via Breitbart News","26.962501412677, -98.293211366797","","https://bit.ly/2l1grRh","Northern America","1"
"52426","Mediterranean","September 13, 2019","2019","Sep","","4","4","1","","","","Presumed drowing","15 miles off the coast of Marettimo, Sicily, Italy","IOM Italy","37.949458912014, 11.983127132731","Central Mediterranean","http://bit.ly/2kmw0CP","Uncategorized","4"
"52427","US-Mexico Border","September 13, 2019","2019","Sep","1","","1","","","1","","Dehydration","Ranch southwest of the Falfurrias Border Patrol Checkpoint on U.S. Highway 281, Brooks County, Texas, USA","Brooks County Sheriff's Office via Breitbart News","26.975419020731, -98.236322802092","","http://bit.ly/2mdSO89","Northern America","1"
"52451","US-Mexico Border","September 13, 2019","2019","Sep","1","","1","","","1","","Unknown","Ranch near Encino, Brooks County, Texas, USA","Brooks County Sheriff's Office via Breitbart News","26.932000971238, -98.226225375945","","http://bit.ly/2mOowJI","Northern America","1"
"52391","US-Mexico Border","September 12, 2019","2019","Sep","1","","1","","","1","","Unknown (mummified remains)","Pima Couny jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner","31.654940500000, -112.088417200000","Central America to US","http://www.humaneborders.info/app/mapa.asp","Northern America","5"
"52425","Europe","September 12, 2019","2019","Sep","1","","1","8","","","","Vehicle Accident","Egnatia highway, near Komotini, Greece","Ekathimerini, Voria, IOM Greece","41.094866935213, 25.406005057255","","http://bit.ly/2mkfdAX, http://bit.ly/2lY1sYc","Southern Europe","4"
"52405","US-Mexico Border","September 11, 2019","2019","Sep","2","","2","35","1","1","1","Drowning","Río Bravo, near San Felipe Creek, Del Rio, Val Verde County, Texas","CNN, Univisión, Telemundo","29.326039842099, -100.919307459890","","https://cnn.it/2mmuLE9, http://bit.ly/2kHXZ00, https://tlmdo.co/2lZ6zrh","Northern America","3"
"52424","Middle East","September 09, 2019","2019","Sep","1","","1","","","1","","Drowning","Evros/Meriç river, near Yenikadın, Edirne, Turkey","CNN Türk, Hurriyet","41.686784185245, 26.437765783120","","http://bit.ly/2mkfAeP, http://bit.ly/2kBGxdz","Western Asia","3"
"52000","Europe","September 07, 2019","2019","Sep","1","","1","","","1","","Head injury","Body recovered in Dora river, near Bardonecchia, Piamonte, Italy","Il Corriere de la Sera, La Reppublica","45.079408592493, 6.700213388391","Italy to France","http://bit.ly/2lDG4ro, http://bit.ly/2m7kCv2","Southern Europe","3"
"52001","North Africa","September 07, 2019","2019","Sep","1","","1","","","1","","Violence","Bolingo forest, near Nador, Morocco","Association Marocaine des Droits Humains - Section Nador, Caminando Fronteras","35.204391764075, -2.925109863281","","http://bit.ly/2k6OFlN, http://bit.ly/2knuWi5, http://bit.ly/2m1WIRr","Northern Africa","4"
"51998","US-Mexico Border","September 06, 2019","2019","Sep","1","","1","","","1","","Sickness","Hospital in San Antonio, Texas after being rescued from the Río Bravo near Eagle Pass, Maverick County, Texas, USA","US Border Patrol","29.424121900000, -98.493628200000","","http://bit.ly/2lEKVbI","Northern America","5"
"51999","Mediterranean","September 06, 2019","2019","Sep","1","","1","13","1","","","Sickness and lack of access to medicine","Samos hospital shortly after being rescued off the coast of Kokkari, Samos, Greece","IOM Greece","37.754785700000, 26.977770100000","Eastern Mediterranean","http://bit.ly/2kylsk3","Uncategorized","4"
"51997","US-Mexico Border","September 05, 2019","2019","Sep","1","","1","","","1","","Drowning","Río Bravo, near poblado Venecia, Reynosa, Tamaulipas, Mexico","Hoy Tamaulipas, El Mañana","26.095001305916, -98.273011631016","","http://bit.ly/2m7mXpO, http://bit.ly/2lJkhi4","Central America","3"
"52432","Mediterranean","September 05, 2019","2019","Sep","","4","4","","","4","","Presumed drowing","Off the coast of Bouyafar, Morocco (Alboran Sea)","El Faro de Ceuta, EFE, Association Marocaine des Droits Humains - Section Nador","35.837725415025, -3.356083848156","Western Mediterranean","http://bit.ly/2lQNNm0, http://bit.ly/2lVZckA, http://bit.ly/2kPqHfk, http://bit.ly/2mqcdTC","Uncategorized","4"
"52407","US-Mexico Border","September 04, 2019","2019","Sep","1","","1","","","1","","Drowning","Río Bravo, near Eagle Pass, Maverick County, Texas, USA","La Rancherita del Aire","28.719389776553, -100.507124167020","","http://bit.ly/2lSl3cg","Northern America","1"
"51993","Mediterranean","September 03, 2019","2019","Sep","","15","15","2","","","","Drowning","40 miles south-east of Cabo de Gata, Almería, Spain ","Salvamento Marítimo via eldiario.es, La Voz de Almería, El Watan","36.592468317565, -1.720397814063","Western Mediterranean","http://bit.ly/2lBlUhn, http://bit.ly/2jWcigQ, http://bit.ly/2m1iHYV, http://bit.ly/2kpb1iz","Uncategorized","3"
"51994","Southeast Asia","September 03, 2019","2019","Sep","1","","1","","","1","","Killed by landmine blast","Myanmar-Bangladesh border, near Gundum border town","AFP, BDnews24","21.191071718689, 92.183833394287","","http://bit.ly/2kthQzC, http://bit.ly/2ktqRsz","South-eastern Asia","3"
"52412","Central America","September 02, 2019","2019","Sep","1","","1","","","1","","Fall from train","Train tracks near Santa Ana Chiautempan, Tlaxcala, Mexico","Puebla Roja","19.314037774345, -98.190767327239","","http://bit.ly/2kj1ud2","Central America","1"
"52423","Middle East","September 02, 2019","2019","Sep","1","","1","","","1","","Drowning","Irrigation canal in Yenikarpuzlu, İpsala, Edirne, Turkey","EASO Social Media Monitoring Reports, Hurriyet, CNN Türk","40.825420088134, 26.292042608479","","http://bit.ly/2mkiikB, http://bit.ly/2kzS4dj","Western Asia","3"
"51984","Mediterranean","September 01, 2019","2019","Sep","1","","1","","","1","1","Cardiac arrest","Port of Ceuta, Spain","El Faro de Ceuta","35.893350500000, -5.320966600000","Western Mediterranean","http://bit.ly/2knjgvs, http://bit.ly/2lo2Kvs","Uncategorized","3"
"51986","North Africa","September 01, 2019","2019","Sep","11","","11","3","","","","Vehicle Accident","400km north of Bordj Badji Mokhtar, en route to Reggane, Adrar, Algeria","El Watan, Réflexion, ALG24","24.404460353983, -0.316673172573","","http://bit.ly/2ls8dBC, http://bit.ly/2knudgA, http://bit.ly/2lu3Zcy","Northern Africa","3"
"51992","US-Mexico Border","September 01, 2019","2019","Sep","1","","1","","","","","Drowning","American Canal near El Paso, El Paso County, Texas, USA","US Border Patrol","31.751634695944, -106.492510924610","","http://bit.ly/2lzTlky","Northern America","5"
"52416","US-Mexico Border","August 31, 2019","2019","Aug","1","","1","","","1","","Probable hyperthermia","Pima County jurisdiction, Arizona, USA","Pima County Office of the Medical Examiner","31.545539900000, -111.307293900000","","http://www.humaneborders.info/","Northern America","5"
"51985","North Africa","August 29, 2019","2019","Aug","1","22","23","9","","","","Drowning","65km north of Dakhla, Western Sahara Territory / Morocco - en route to the Canary Islands","Alarm Phone, Dakhla News, Hespress, Alyaoum 24","24.781866727395, -16.246628178823","Western African","http://bit.ly/2jZELTa, http://bit.ly/2lV0jAV, http://bit.ly/2knMri8, http://bit.ly/2knMri8, http://bit.ly/2jVpbYy, http://bit.ly/2lq9LMl","Western Africa","4"
"51979","US-Mexico Border","August 28, 2019","2019","Aug","1","","1","","","1","","Drowning","Río Bravo, near congregación Los Rodríguez, Piedras Negras, Coahuila, Mexico","Zócalo, SuperChannel12","28.720081977572, -100.508130855280","","http://bit.ly/2ZrrKVZ, http://bit.ly/2LiNtFu","Central America","3"
"51980","Mediterranean","August 28, 2019","2019","Aug","","7","7","100","","5","","Presumed drowning","Unspecified location off the coast of Libya","Mediterranea Saving Humans, IOM Italy","34.074975531751, 14.804481898594","Central Mediterranean","https://yhoo.it/32c805o","Uncategorized","4"
"51982","US-Mexico Border","August 28, 2019","2019","Aug","1","","1","","","1","","Dehydration","Ranch in Dimmit County, Texas, USA","SuperChannel12, Zócalo","28.411651400000, -99.812493500000","","http://bit.ly/2jSFdCs, http://bit.ly/2kdDqZ4","Northern America","3"
"51996","South America","August 28, 2019","2019","Aug","1","","1","","","1","","Suicide","Zámbiza bridge, north of Quito, Ecuador, while en route to Guayaquil, Ecuador","El Universo, Metro Ecuador","-0.145943800000, -78.445259200000","","http://bit.ly/2lCdA13, http://bit.ly/2kpKx0F","South America","3"
"51978","Mediterranean","August 27, 2019","2019","Aug","11","29","40","64","1","2","2","Presumed drowing","Off the coast of Al-Khums, Libya","IOM Libya, MSF, UNHCR","33.186025070051, 14.631463370694","Central Mediterranean","http://bit.ly/30L8ijo, http://bit.ly/2ZoLQzV, http://bit.ly/2NHVTJp","Uncategorized","4"
"51981","Central America","August 27, 2019","2019","Aug","1","","1","","","1","","Unknown","Ciudad Nicolás Romero, State of Mexico, Mexico","La Tribuna, Abriendo Brecha TV","19.616203300000, -99.300118100000","","https://bit.ly/2lT6K7H, http://bit.ly/2lWcbCL","Central America","3"
"52420","US-Mexico Border","August 27, 2019","2019","Aug","1","","1","","","1","","Probable hyperthermia","Pima County jurisdiction, Arizona, USA","Pima County Office of the Medical Examiner","31.969853700000, -111.427588800000","","http://www.humaneborders.info/","Northern America","5"
"52431","Mediterranean","August 27, 2019","2019","Aug","1","","1","18","","","","Presumed drowning","Off the coast of Sfax, Tunisia","Tunis Webdo, Xinhua","34.794857389741, 11.066638902114","Central Mediterranean","http://bit.ly/2lXZgQs, http://bit.ly/2khKfZq","Uncategorized","3"
"51977","Europe","August 26, 2019","2019","Aug","6","","6","10","","6","","Vehicle Accident","Near Loutra, Alexandroupoli, Greece","IOM Greece","40.862794800000, 26.033687200000","","https://bit.ly/2Zh7d6c","Southern Europe","4"
"52421","US-Mexico Border","August 26, 2019","2019","Aug","1","","1","","1","","","Unknown (skeletal remains)","Pima County jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner","31.586669000000, -111.753637200000","Central America to US","http://www.humaneborders.info/app/mapa.asp","Northern America","5"
"51968","Europe","August 25, 2019","2019","Aug","1","","1","11","1","","","Vehicle Accident","Kupa River, near Slatina Pokupska, Croatia","Police Administration Sisak-Moslavina County, Croatian National Radio Television (HRT) via IOM Croatia","45.482029519751, 16.004001166565","","https://bit.ly/329RlQd, https://bit.ly/2ZvA5ad, https://bit.ly/2ZdvD0x","Southern Europe","4"
"51974","US-Mexico Border","August 24, 2019","2019","Aug","1","","1","1","1","","","Dehydration","Ranch in Dimmit County, Texas, USA","Zócalo, Breitbart","28.411651400000, -99.812493500000","","http://bit.ly/2LdLp1v, http://bit.ly/30J61p5","Northern America","3"
"51975","US-Mexico Border","August 24, 2019","2019","Aug","1","","1","","","","","Presumed drowning","Río Bravo, near Mission, Hidalgo County, Texas, USA","US Border Patrol","26.166658691056, -98.337147645366","","http://bit.ly/2UfBpcj","Northern America","5"
"51976","US-Mexico Border","August 24, 2019","2019","Aug","1","","1","","","","","Unknown","Ranch in Kenedy County, Texas, USA","US Border Patrol","26.869714700000, -97.698227200000","","http://bit.ly/2UfBpcj","Northern America","5"
"52419","US-Mexico Border","August 24, 2019","2019","Aug","1","","1","","","","","Unknown (skeletal remains)","Pima County jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner","32.340439000000, -111.778268200000","Central America to US","http://www.humaneborders.info/app/mapa.asp","Northern America","5"
"51965","US-Mexico Border","August 23, 2019","2019","Aug","1","","1","","","1","","Drowning","Río Bravo, near International Bridge III, Nuevo Laredo, Tamaulipas, Mexico","Lider","27.596688407404, -99.537284533452","","https://bit.ly/30yHJ0J, https://bit.ly/2NDw2SK","Central America","3"
"51966","US-Mexico Border","August 23, 2019","2019","Aug","1","","1","1","","1","","Drowning","Río Bravo, near Piedras Negras, Coahuila, Mexico","Tiempo","28.693672861798, -100.510521797740","","https://bit.ly/2LcMEhB, https://bit.ly/2PhKCSy","Central America","3"
"51967","Europe","August 23, 2019","2019","Aug","1","","1","13","","1","","Vehicle Accident","Near Negotino, North Macedonia, on the highway from Gevgelija to Skopje","IOM North Macedonia","41.502661204569, 22.090889878296","","https://bit.ly/2ZqSRvi","Southern Europe","4"
"52418","US-Mexico Border","August 23, 2019","2019","Aug","1","","1","","","1","","Probable hyperthermia","Pima County jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner","31.605656100000, -111.522981700000","Central America to US","http://www.humaneborders.info/app/mapa.asp","Northern America","5"
"51972","US-Mexico Border","August 22, 2019","2019","Aug","1","","1","","","","","Presumed drowing","Río Bravo, near Havana, Hidalgo County, Texas, USA","US Border Patrol","26.226310823479, -98.516633818581","","http://bit.ly/2UfBpcj","Northern America","5"
"51973","Mediterranean","August 22, 2019","2019","Aug","1","3","4","7","","1","","Drowning","Off the coast of La Línea de la Concepción, Cádiz, Spain - the remains of one man recovered near Punta Europa, Gibraltar","Canal Sur, El Foro de Ceuta, La Voz del Sur, ABC","36.155426016789, -5.296389510909","Western Mediterranean","http://bit.ly/2zsJ3q3, http://bit.ly/329pQpN, http://bit.ly/2Zyb3Hn, http://bit.ly/2Zy4GnF","Uncategorized","3"
"52417","US-Mexico Border","August 22, 2019","2019","Aug","1","","1","","","1","","Probable hyperthermia","Pima County jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner","32.057701900000, -112.143021500000","Central America to US","http://www.humaneborders.info/app/mapa.asp","Northern America","5"
"51971","US-Mexico Border","August 21, 2019","2019","Aug","2","","2","","","1","","Unknown (skeletal remains)","Ranch south of the Falfurrias Border Patrol Checkpoint on U.S. Highway 281, near Encino, Brooks County, Texas, USA","Brooks County Sheriff's Office via Breitbart News","26.982052175409, -98.096525608378","","http://bit.ly/2ZpfG7m","Northern America","1"
"51959","US-Mexico Border","August 20, 2019","2019","Aug","1","1","2","","1","1","1","Presumed drowning","Río Bravo near Mudo island in Piedras Negras, Coahuila, Mexico","US Border Patrol, Zócalo, GMN Noticias","28.710228241930, -100.509740470240","Central America to US","http://bit.ly/2Lh5uUB, http://bit.ly/2Zm7oZ8, http://bit.ly/2KSmFx4, https://bit.ly/2zk3nd5, http://bit.ly/2HjwtxJ","Central America","5"
"51960","US-Mexico Border","August 20, 2019","2019","Aug","1","","1","","","1","","Unknown","Ranch near El Saucito, Coahuila, Mexico","Zocalo, Super Channel 12","28.513027700000, -100.455079600000","Central America to US","http://bit.ly/2KWleMR, http://bit.ly/2HyeSCz","Central America","3"
"51970","US-Mexico Border","August 20, 2019","2019","Aug","1","","1","","","1","","Dehydration","Ranch north of the Falfurrias Border Patrol Checkpoint on U.S. Highway 281, Brooks County, Texas, USA","Brooks County Sheriff's Office via Breitbart News","27.049847012246, -98.168535616548","","http://bit.ly/2ZpfG7m","Northern America","1"
